week,title,author,visual_img,legend_img,text
01,Week 01: A week of clocks,Giorgia,01_Giorgia_DearData_01_Front.jpg,01_Giorgia_DearData_01_Back.jpg,"[{""header"": ""The topic:"", ""content"": "" This was the first week of Dear Data \u2013 I was excited and a bit scared at the same time: would I be able to create something compelling? Will Stefanie like it? Yes, I was nervous.This week was about clocks, and time, I noticed and reported all of the times I would check the time, which kind of device it was, why I was looking at it, and what I thought right after (if any).""}, {""header"": ""Data\u00a0gathering:"", ""content"": "" As the data collection began, I immediately realized that it is INSANE how many times we look at the clock, and how few of these times we do it on purpose (i.e. because we really need to know what time is it)!I used a little analog notebook to document the data, but I also took a lot of print-screens of my iPhone and reported the time later (I texted Stef about it, we figured that would be admissible!)Confessions:I stopped wearing my analog wristwatch that I occasionally wear because it increased the number of occasions I would run into the time,when in a hurry together with my boyfriend, I asked him not to tell me what time it was on several occasions, saying \u201cjust tell me if we\u2019re fine\u201d instead,I was incredibly relieved at the end of the week!\u00a0""}, {""header"": ""Data\u00a0drawing:"", ""content"": "" The data-drawing was \u2013 of course \u2013 challenging, since this was the first week. I changed my mind on the visual model dozens of times, and I wasted tons of postcards, but finally I agreed with myself in creating a sort of \u201calphabet\u201d with my data, composing this Morse-Code week of time related data.Oh \u2013 and I also\u00a0figured it would be nice to assign the data that was somehow related to \u201cDear Data\u201d and/or Stefanie a color and keep it consistent throughout the postcards, and there we go: the pink-ink Muji pen in my postcards will always indicate that from now on!""}, {""header"": ""Sadness:"", ""content"": "" p.s. my first postcard never reached Stefanie.\u00a03 weeks later I re-drew it and re-sent it, this time eventually it worked out!""}]"
01,Week 01: A week of clocks,Stefanie,01_Stefanie_DearData_01+front.jpg,01_Stefanie_DearData_01+back.jpg,"[{""header"": ""Data-gathering:"", ""content"": "" Originally Giorgia and I thought that we would try to gather data only by hand but this proved difficult. So we\u2019ve changed the rules (already) and agreed we can use digital means for gathering data. I think this makes sense: the focus of the project is exploring the handmade representation of data, and the benefits/problems that a handmade approach poses. While I am a sucker for slightly masochistic and obsessive data-gathering techniques, I accept that automation and ease will give me more time to do other things, such as actually have a life.I tracked when I checked the time, what type of clock I was looking at, and that\u2019s it.""}, {""header"": ""Data memories:"", ""content"": "" To neatly start the year-long project on the perfect starting day (Monday 1 September), the project started while I was holidaying in Greece. Because of this, my main memory from this week is checking the clock in a hire car at 4am as we drove to Athens to catch an early morning flight home. Ouch.My favourite data point to track was when I was walking down the high-street in Totnes, hearing the church bell ring the time. Does it count as checking the time if the time is forced upon you? I\u2019ve decided it does.My first experience of a mild \u2018data void\u2019: I was at a wedding at the end of the week where we ended up in the sea after midnight, wandering through the dark. Drunk data-gathering is a challenge.""}, {""header"": ""Data drawing:"", ""content"": "" Due to this being the first card, I probably over-thought the design because I didn\u2019t want Giorgia to think my drawing was rubbish. I spent ages working on the card, all the while moaning to my husband that I was \u2018shit at drawing\u2019. His response: \u2018Well, you\u2019ll be better after a year, right?\u2019Having said that, I like how this drawing looks. But data-wise, it\u2019s not very insightful: the data is difficult to read.But this is something that I\u2019m still undecided about: I\u2019m not sure whether or not to use the data as a starting point for a drawing where the focus is on the aesthetic, or to have the story told with the data be the main focus of these cards. Perhaps it will depend on the data we use each week.""}, {""header"": ""Giorgia\u2019s card:"", ""content"": "" I finally received this after some problems with the posting, second time lucky! I was very pleased to finally see it waiting for me on my doormat when I unlocked the door.I love the little geometric symbols, and how precise and perfect Giorgia\u2019s drawing is. You can probably tell something about our personalities from how different our drawings look...""}]"
02,Week 02: A week of public transportation,Giorgia,02_Giorgia_DearData_02_Front.jpg,02_Giorgia_DearData_02_Back.jpg,"[{""header"": ""Data gathering:"", ""content"": "" This week I collected data on my walks and transportations through the city, turning my Moves App on but also writing down some \u201cattributes\u201d about my paths: was I alone? Was I talking to the phone or listening to podcasts? Did I run into someone I knew during my journey?I like collecting detailed data, and trying every time\u00a0to add a\u00a0personal take on it: I think this is the best way to learn something about myself and to share with Stefanie who I am.""}, {""header"": ""Data drawing:"", ""content"": "" As for the data-drawing, I thought of unfolding my paths: hiding the geographic dimensions to explore and see whether patterns on my trips could be detected even without a map. I like the outcome actually!\u00a0When we talk about patterns or insights here, we refer to stories about the other person that one would notice from the drawing;\u00a0we don\u2019t mean our weekly data collections to be exhaustive and extensive quantified-self reports, we see them more as glimpses of our personalities covering different topics!""}, {""header"": ""Close encounters of the data kind:"", ""content"": "" The treat of the week was running into Nick Felton while walking the Williamsburg bridge \u2013 I of course indicated this with my pink-ink Muji pen and labelled it on the back of my postcard as: \u201crun into friend who is also your friend and who also does self-reports but is way more famous than the two of us\u201d.""}]"
02,Week 02: A week of public transportation,Stefanie,02_Stefanie_DearData_02+front.jpg,02_Stefanie_DearData_02+back.jpg,"[{""header"": ""Data-gathering:"", ""content"": "" Last week\u2019s intensive data gathering means that now whenever I check the time I feel the need to gather data, even though that week is over. I just let the Moves app gather the data for me here, so I didn\u2019t do much.""}, {""header"": ""Data memories:"", ""content"": "" Lots of memories of walking across London. Lots of good weather (plus I love walking)""}, {""header"": ""Data drawing:"", ""content"": "" I tried to present the data in a way that showed how my journeys centred around my house, as that\u2019s where I was always travelling to and from. Distance between locations is arbitrary; I tried to make the distance of the lines based on numbers but it proved impossible by hand.\u00a0""}, {""header"": ""Giorgia\u2019s card:"", ""content"": "" So much detail! There are lots of little lovely things about Giorgia\u2019s card, and one of my favourites is when she picks out when it rained and she was without an umbrella. I think you can really get an idea of her week and whereabouts and her personality from the data she chooses to gather and capture. I\u2019d like to find ways of capturing more of the personality of my week through the data I gather.\u00a0""}]"
03,Week 03: A week of thank yous,Giorgia,03_Giorgia_DearData_03_Front.jpg,03_Giorgia_DearData_03_Back.jpg,"[{""header"": ""The topic:"", ""content"": "" This week we wanted to see how kind we are, and we decided to focus on the \u201cthank you(s)\u201d we say.\u00a0I was kind of curious to see how difficult a whole week of this might be!""}, {""header"": ""Data gathering:"", ""content"": "" I reported every single time I would thank somebody and somebody would thank me, adding details about who he/she was, if it was in \u201creal life\u201d or through a text or email, if it was an English \u201cthank you\u201d or an Italian \u201cgrazie\u201d (I also had a Spanish \u201cgracias\u201d), and some other information about how much it was meant.\u00a0 It was hard, especially because this is one of those things your mind can trick you with, and you start noticing you\u2019re about to say thank you before it even comes out of your mouth (\u2026so eventually you would just decide not to\u00a0say \u201cthank you\u201d in the first place!)What really jumped out at me when looking at my data was how many thanks I say to strangers: I am an unbelievably compulsive thanker to waiters and waitresses, especially; but I don\u2019t really thank so much my friends and family.\u00a0""}, {""header"": ""Data drawing:"", ""content"": "" Thus for the data-drawing, I thought It was more interesting to aggregate and divide my data per category of people rather than exploiting them chronologically.This is actually one of my favorite postcards because it is very detailed and precise data-wise (even if my boyfriend said he\u2019s 100% sure he thanked me more times than the ones I reported\u2026mmmmh), it is also one of my favorites because this was the first week I really realized something about me!""}, {""header"": ""Slow and small data:"", ""content"": "" I like how we are illustrating our lives through small data, every time imagining and inventing a visual model to represent a specific little story we might find, with the attempt of exploring new visuals to please each other!At week 3, Stefanie and I started texting about Dear Data pretty regularly, we share our tiny daily troubles with the data collection and so, and it\u2019s fun! It seems \u201creal\u201d already!\u00a0Our boyfriends/husbands and friends are also so into it! They would start asking us \u201cWhat is the data this week?\u201d and comment on it very regularly.""}, {""header"": ""Kidnapped!"", ""content"": "" This postcard went through a rough patch: after 10 days I posted it I found my thank you card back in my mailbox: it was all dirty and a yellow sticker was on it that said: \u201creturn to sender \u2013 address not known \u2013 unable to forward\u201d.\u00a0Where did it go? Did it ever leave the States? I figured that I should probably make clearer that THESE ARE POSTCARDS! Maybe the postman didn\u2019t even get that an address was on the back!""}]"
03,Week 03: A week of thank yous,Stefanie,03_Stefanie_DearData_03+front.jpg,03_Stefanie_DearData_03+back.jpg,"[{""header"": ""Data-gathering:"", ""content"": "" Tracking thank-yous, and the type of relationship I had with the person, from least intimate relationship (stranger) to the most intimate (my husband).\u00a0""}, {""header"": ""Data memories:"", ""content"": "" I was in Helsinki this week for a conference, which meant many of my thank-yous were whispered under my breath in Finnish to shopkeepers because I felt too shy at speaking the language.""}, {""header"": ""Data drawing:"", ""content"": "" This is one of those weeks where I like the drawing outcome but it\u2019s probably not very insightful. The data I gathered was pretty simple in the end, I need to add more depth.\u00a0But like I mentioned before, I do like the idea of lifting textures from my week and drawing them, so perhaps I am interested more in the drawing than the data. Still figuring this out.\u00a0""}, {""header"": ""Giorgia\u2019s card:"", ""content"": "" Oh, this poor card arrived through my mail slot so bedraggled and crumpled, poor thing! Again, I really like the richness of the data that Giorgia is gathering. I don\u2019t know why this level of data-gathering eludes me, I think I\u2019m too impatient, perhaps.\u00a0""}]"
04,Week 04: A week of mirrors,Giorgia,04_Giorgia_DearData_04_Front.jpg,04_Giorgia_DearData_04_Back.jpg,"[{""header"": ""The topic:"", ""content"": "" This week we got narcissistic: we wanted to see how many times we would see ourselves reflected on mirrors, or windows, or screens. After a couple of days both Stefanie and I agreed that the topic was a little boring, but that eventually we would find a beautiful way of drawing it anyway.""}, {""header"": ""Data gathering:"", ""content"": "" This week my parents were in town visiting, my mum wanted to shoot some selfies and I had to report them, I also got a haircut, so I spent a hour or so constantly looking at me while freaking out a little. Even if we weren\u2019t in love with the topic, I enjoyed my data collection: it feels a sort of data-journal already, and I am all in!""}, {""header"": ""Data drawing:"", ""content"": "" As for the data-drawing, I wanted to use more colors and to think of visual metaphors that are not directly related to the data:\u00a0 I saw my mirror-data as little drops with their attributes about what I was doing or thinking while looking at myself.\u00a0I still wanted to build a narrative that could be interesting for Stefanie to read, so I tried to emphasize the more \u201chuman\u201d part of my boring data collection.""}, {""header"": ""New habits:"", ""content"": "" I started noticing how every week I am still somehow influenced by the previous week's topic: I still sometimes think about it for a second when I say \u201cthank you\u201d or when I check the time on my iPhone. (every Sunday I am also relieved the week is finished and happy to start a new topic)""}]"
04,Week 04: A week of mirrors,Stefanie,04_Stefanie_DearData_04+front.jpg,04_Stefanie_DearData_04+back.jpg,"[{""header"": ""Data-gathering:"", ""content"": "" Oh, my data-gathering was pretty one-dimensional this week. For some reason I thought that just noting time and location of when I looked in a mirror would be enough data to gather, but it doesn\u2019t make for the most compelling story. \u00a0""}, {""header"": ""Data memories:"", ""content"": "" During this week, I\u2019m starting to realise that the human mind tends to shut down in specific circumstances\u2026 namely when one is really drunk at a laser-themed rave (dress code: mirrored and metallic), carrying a full-sized mirrorball (pretty proud of this, to be honest).\u00a0I am pretty sure that I looked in some mirrors, to vainly check that all the makeup and sequins on my face looked ok. And I was carrying hundreds of tiny mirrors on my person, what with the mirrorball and all (Why did I not ever capture this data? Silly me).But\u2026But. Well, there seems to be a void in my data-gathering. A space where I totally forgot to capture any data. Funny, that. I\u2019m not really sure why that happened.\u00a0Giorgia and I have both decided that massive \u2018data voids\u2019 need to be recorded, so here\u2019s the first proper one from me. I\u2019m sure it\u2019ll be the first of many.\u00a0""}, {""header"": ""Data drawing:"", ""content"": "" Data void duly noted on the card, but I\u2019m disappointed that this drawing feels so much like an information graphic you would make on a computer. Oh, well, in a year of drawings there are bound to be a few imperfect ones\u2026""}, {""header"": ""Giorgia\u2019s card:"", ""content"": "" This is one of my favourite cards from Giorgia: I love the colours, and also the complex data-gathering as per usual. The whole drawing feels so warm and approachable, and just by looking at it you can see some patterns in the data reveal themselves.\u00a0I\u2019m learning about Giorgia\u2019s personality just by how she gathers her data: it\u2019s just so neatly gathered, with lots of thought and planning put into it\u2026 you can tell that she is someone who is very good at getting things done, hence why she runs a company, I think. I am always impressed!And my personality manifests itself through how I gather my data: it\u2019s a bit messy and haphazard, a perfect illustration of how I go about my life as a solitary wandering freelancer (kidding, clients out there... please hire me)""}]"
05,Week 05: A week of things we buy,Giorgia,05_Giorgia_DearData_05_Front.jpg,05_Giorgia_DearData_05_Back.jpg,"[{""header"": ""Data gathering:"", ""content"": "" This week we\u2019re mapping our purchases, I reported every item I bought, categorizing typologies, the price, how I paid (if cash or credit), if somebody bought me something, if it was an impulse or meditated buy, how long the item would last and whether the salesperson was fun or a jerk.Disclaimer \u2013 beers and dinners are counted together with boyfriend (i.e. I don\u2019t drink 5 beers every evening), (but yes, we definitely like to wind down the working day with a beer or two\u2026who doesn\u2019t? And yes, we definitely like eating out\u2026but who doesn\u2019t? :)""}, {""header"": ""Data drawing:"", ""content"": "" During this week I started to conceive my postcards as a collection for the first time, thus I want each of them to feel original, new and different from the previous ones. I also try to force myself not to organize data chronologically \u2013 because it is the easiest layout for me to imagine \u2013 I want to experiment and learn with this project, and I so much love it!""}, {""header"": ""Data pals!"", ""content"": "" At week 5 we started texting each other about how much we are into it, and I feel very much connected to Stefanie already! At this point I talk about Dear Data a lot \u2013 my friends love it!Also \u2013 I am having a lot of fun to save some time for this project every week-end and I think my visual explorations are very useful for my work, it\u2019s R&D isn\u2019t it? :)\u00a0""}]"
05,Week 05: A week of things we buy,Stefanie,05_Stefanie_DearData_05+front.jpg,05_Stefanie_DearData_05+back.jpg,"[{""header"": ""Data-gathering:"", ""content"": "" Capturing data on transactions is so much easier than some of the more esoteric data-gathering. Because of Giorgia\u2019s great cards, I\u2019m trying to work a little harder at my data-gathering this week.\u00a0Besides the usual price / time / date / purchase data, I\u2019ve tried to gather whether I thought the purchase was necessary or not, and the type of purchase it was.""}, {""header"": ""Data memories:"", ""content"": "" Getting a wax and realising that I would have to track this data (facepalm).""}, {""header"": ""Data drawing:"", ""content"": "" I\u2019ve started to use red to annotate the main \u2018How to read it\u2019 text with little comments. But oh, I spent so much time trying to figure out how to draw this data and I\u2019m still not totally happy with the results. I think some of this might be because I am trying to cram too much data into one little drawing, and perhaps I need to edit out some of this and only highlight the most interesting patterns. I guess I\u2019m experiencing the usual balancing act that we as information designers face in our professional lives, but instead for a very personal project.\u00a0""}, {""header"": ""Giorgia\u2019s card:"", ""content"": "" Again: WHAT IS GIORGIA DOING? Her data gathering totally freaks me out\u2026 I would never think about approaching the data-gathering from the angles she chooses, they're great to look over. I feel reassured by Giorgia\u2019s plentiful beer purchases due to my previous drunken data void, ha. I know she SAYS the beers are for her boyfriend but honestly, I don\u2019t believe a word of it.\u00a0""}]"
