Link to Explanations,,,Theme,,,Data,,,,,,Sematic,,Context,,,,,,,Visual Annotation,,,Visual Layout,,,,,,,,Visual Encoding Channels,,,,,,,,,,,,Visual Marks,,,,,,,,,
,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Title,Week,Who,Internal: Self-Reflection,External: People,External: Physical Objects/Environments,Nominal,Ordinal,Numerical,Temporal,Intensity or Amount or Frequency,Geocoord (approximate),Relationship,Group,Who/Whom,Where,When,//Exact Time Recorded,Why,What,How,Personal Input,Highlighting,Attribute,List,Grid,Stacked,Radial,Tree,Network,Facet,Freeform,Shape,Position,Size,Color,Weight/boldness,Texture,Orientation,Stroke,Connection,Containment/Enclosure,Onomatopoeia,Fill/NoFill,Dot,Line,Rect,Triangle,Circle,Repeat,Area,Glyph,Real Object,Personal
clocks,1,Giorgia, ,,x,x,,,x,,,,,,,x,new,x,,x,new,xxx,x,,x,xxx,,,,,,x,x,,,,,,,,,,,x,,,,,,,x,,
clocks,1,Stefanie,,,x,x,,,x,,,,,,,x,new,,,x,,,,,,,x,,,,,x,x,,,new,,x,,,,,,,,,,,,,x,,
public transportation,2,Giorgia,,,x,x,,x,x,,,,,x,x,x,,,x,x,,xxx,x,xxx,xx,xxx,,,,,,,,x,x,,x,,,,,,,x,x,,,,,,x,,
public transportation,2,Stefanie,,,x,x,,,,,,x,,,x,x,,,,x,,,,,,,x,,xxx,,xxx,x,xx,,,new,xxx,xxx,,xxx,,,x,,,,,x,,,x,,new
thank yous,3,Giorgia,,x,,x,,x,,,,,,x,,,,,x,x,new,x,x,xxx,xx,x,x,,,,x,x,?,,,,,xx,,,,,,,,,,,,,x,,
thank yous,3,Stefanie,,x,,x,,,x,,,,,x,,x,new,,,,new,,,xxx,x,,,,,,,,xxx,,,new,x,,,,,,,,,,x,,,,,,
mirrors,4,Giorgia,,,x,x,x,x,x,,,,,xxx,x,x,,xxx,x,x,new,,x,xxx,x,xxx,,,,,,x,x,x,x,,,x,,,,,,x,x,,,,,,x,,new
mirrors,4,Stefanie,,,x,x,,x,x,,,,,,x,x,new,,,x,,x,,,x,,,,,,,,x,x,x,,,,,,,,,,,,,x,x,,,,
things we buy,5,Giorgia,,,x,x,x,x,,x,,x,,x,,xxx,new,,x,x,new,x,x,,,,,x,x,,,x,,x,x,,x,x,,x,,,,x,x,,,,x,,x,,new
things we buy,5,Stefanie,,,x,x,,x,x,x,,,,,,x,new,x,x,x,new,,x,xxx,x,xxx,,,,,,,x,xx,x,new,x,,,,,,x,,,,,x,,,,,new
physical contact,6,Giorgia,,x,,x,x,,,,,,,x,x,x,,,,x,,x,x,xxx,x,xxx,,,,x,,x,x,,x,,,,,,x,,,x,x,,,x,,,x,,new
physical contact,6,Stefanie,,x,,x,x,,x,x,,,,x,,x,,,x,x,,x,,,,,x,x,,xxx,,,xx,x,x,new,,x,,,,,,,x,,,x,,,,,
complaints,7,Giorgia,xx,x,xx,x,x,,x,x,,,x,x,,x,,,x,x,new,x,x,xxx,x,,,,,x,,x,x,,x,,,,,x,,,xxx,x,x,,,x,,,x,,new
complaints,7,Stefanie,xx,x,xx,x,,,x,,,,,x,,x,,,x,,new,,,,,,x,,,x,,,,,x,,,x,,,,,,,x,,,,,,,,new
phone addiction,8,Giorgia,,,x,x,,,x,,,,,xxx,x,x,,x,x,x,new,,x,,,,x,,,x,x,x,?,x,x,,x,x,,,,,,x,x,,,,x,,x,,
phone addiction,8,Stefanie,,,x,x,,,x,,,,,,,x,,x,,,new,,,xxx,x,xxx,,,,,,,x,,x,,,,,,,,,,,,,,,,x,,
Giorgia and Stefanie,9,Giorgia,,x,,x,,x,x,,,,,x,,x,new,,x,x,,x,x,xxx,x,,,,,,,x,x,xx,x,,,x,,,,,x,x,x,x,,,x,,x,,
Giorgia and Stefanie,9,Stefanie,,x,,x,,,x,,,x,,x,x,x,,x,,x,,,,xxx,x,,,,,,,,x,x,x,,,,,x,,,,,x,,,x,x,,,,
to-do lists,10,Giorgia,xx,,xxx,x,,,,,,x,x,,,,,,x, ,,x,x,,x,,,,,,,,,,x,new,x,,,x,x,,,x,x,,,,,,x,,
to-do lists,10,Stefanie,xx,,xxx,x,,,x,,,x,,,,x,,,x,,,,,,xx,x,,,,,,,x,,x,,,,,x,,,,x,x,,,,,,,,
emotions,11,Giorgia,x,xx,xx,x,,,,,,,x,x,,,,,x,,new,x,x,,,,,xxx,,x,x,x,,,x,,,,,,,,,x,x,,,,,,x,,
emotions,11,Stefanie,x,,,x,x,,x,,,,,,,x,new,,x,x,new,,,xxx,x,,,,,,,,x,x,x,,,,,,,,,,x,,,,,,x,,new
people,12,Giorgia,,x,,x,,,x,,,,x,x,,x,,,x,,new,xxx,x,x,xxx,,,,,,,,x,,x,,,,,,x,,,x,x,,,,,,x,,
people,12,Stefanie,,x,,,,x,x,,,,,xxx,,x,new,,,xx,,,,xxx,x,,,,,,,,x,x,x,,,,,,,,,x,,,,x,,,,,
desires,13,Giorgia,x,,xx,x,x,,,,,,,,,,,,x,x,new,,x,,,,x,xx,xxx,x,x,x,,x,x,,,,,x,,,,,x,,,,,,x,,new
desires,13,Stefanie,x,,xx,x,,,x,,,,,,,x,,,x,,new,,,,,,x,,,,,,,,x,,,x,,,,,,,x,,,,,,,,new
productivity / schedules,14,Giorgia,,xx,x,x,,x,,,,,,x,,,new,,x,x,,,,,,,,,,,x,x,,x,x,,,,,,,,,x,x,x,x,x,x,,x,,new
productivity / schedules,14,Stefanie,,xx,x,x,,x,,,,,,,,,new,,x,x,,,,,,,,x,xxx,x,,,,,x,,,,,?,,,,,x,,,,x,,,,new
compliments,15,Giorgia,,x,xx,x,,,x,,,,,x,,,,,x,x,,,?,,,,,,,x,x,x,,,x,,,,,,,,,x,x,x,,,,,x,,
compliments,15,Stefanie,,x,,x,,,x,,,,,x,,x,,,x,,,,,xxx,x,x,,,,,,x,x,,x,,x,,,,,,,,,,,x,,,x,,new
